CAM	participantCAM	id	date	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	e7cf98e5-1734-4d57-88a6-e30dfc679435	2023-12-10T10:37:27Z	cc73d019-f0fa-4786-827d-9dd15d323eb3	c303f306-8e5e-4205-b46e-8847d119e002	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	8c87cef0-f8c0-4db9-bc10-d22b9982a99e	2023-12-10T10:38:02Z	89cc0b47-c274-41a4-8cda-841f35e45eb6	c303f306-8e5e-4205-b46e-8847d119e002	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	c2abdccf-eabd-4eb9-8b77-dff92c383288	2023-12-10T10:38:23Z	7ace5726-a803-42f6-bceb-c035bfe4c9b6	c303f306-8e5e-4205-b46e-8847d119e002	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	00fa3d53-d6f1-466b-9776-72a56cf14b43	2023-12-10T10:39:05Z	f7e8f6cf-6d27-4f5d-8d7d-00cd99564221	c303f306-8e5e-4205-b46e-8847d119e002	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	b092ca68-b584-41bb-9ed9-2df5bd3201da	2023-12-10T10:39:22Z	57a0f995-da95-4be5-aaf4-bc03dfa0fdaa	c303f306-8e5e-4205-b46e-8847d119e002	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	e8baa8e4-93e9-4363-9dc6-a677a3024d40	2023-12-10T10:40:06Z	8d0169b3-8627-4e74-b9c7-671d8ced024a	20bad198-1812-4acb-9239-1f7d6d3e92b6	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	5e257985-ad9c-42ca-8931-75634db8d70a	2023-12-10T10:40:49Z	f1b54734-9d63-41bf-8d35-ac7795ec5228	20bad198-1812-4acb-9239-1f7d6d3e92b6	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	c190a1f2-8e37-47d6-ae07-3ac4a9a1d4bc	2023-12-10T10:40:50Z	8eeaa809-5d05-455f-b58f-0b243547cbe3	20bad198-1812-4acb-9239-1f7d6d3e92b6	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	a170b157-6bc9-4f20-81a4-b5401f97d217	2023-12-10T10:42:26Z	57a0f995-da95-4be5-aaf4-bc03dfa0fdaa	5c02ccf1-4dee-40cb-8445-7dad12bbb880	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	9ca1899a-d702-4010-808b-5bde4a7f0ad1	2023-12-10T10:42:53Z	5c02ccf1-4dee-40cb-8445-7dad12bbb880	33ed2dba-2e21-4ce5-99fb-5bf711fdb450	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	e0bb161d-ef1b-4ba6-a820-65ca446a6d9c	2023-12-10T10:43:16Z	5c02ccf1-4dee-40cb-8445-7dad12bbb880	995c75ec-62ff-4dcd-beb0-717bf36bc814	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	49288291-c84e-44ba-bf4d-adce11033b27	2023-12-10T10:44:26Z	5c02ccf1-4dee-40cb-8445-7dad12bbb880	8ca6113a-4619-48ca-aff1-28f53313132f	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	9608c875-4d15-4802-a869-f8714f855656	2023-12-10T10:44:48Z	57a0f995-da95-4be5-aaf4-bc03dfa0fdaa	8ca6113a-4619-48ca-aff1-28f53313132f	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	669532e5-a3b4-4b42-a454-680c68f551bf	2023-12-10T10:44:52Z	57a0f995-da95-4be5-aaf4-bc03dfa0fdaa	995c75ec-62ff-4dcd-beb0-717bf36bc814	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	62f814ec-c9d3-4b92-bc26-5e561c11c186	2023-12-10T10:44:57Z	57a0f995-da95-4be5-aaf4-bc03dfa0fdaa	33ed2dba-2e21-4ce5-99fb-5bf711fdb450	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	f4fdf891-d116-4dde-abeb-9ed85009590b	2023-12-10T10:45:53Z	00363e21-ec49-4826-86d5-0d81169de1cf	57a0f995-da95-4be5-aaf4-bc03dfa0fdaa	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	e2fe8158-6f95-431a-b847-abb06f449d39	2023-12-10T10:46:54Z	d10b467d-7d64-4fc7-a8ff-695d21b6fcbd	00363e21-ec49-4826-86d5-0d81169de1cf	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	5f5a6735-0b75-46f1-a477-dbba0e031c23	2023-12-10T10:46:56Z	e080dd30-286b-4542-b518-4e46ea69e9d7	00363e21-ec49-4826-86d5-0d81169de1cf	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	af1e40f5-d501-49ca-a08f-215aa387928e	2023-12-10T10:47:15Z	c8dc4e45-7b5a-4330-a7d2-d489ad32de68	00363e21-ec49-4826-86d5-0d81169de1cf	3	1	0	1	TRUE
